st,week,cnt,rate
TX,2.0,290321,0.04364945602248258
TX,3.0,163225,0.024540706525775672
TX,4.0,259591,0.0390292329467461
TX,5.0,50799,0.007637576050255037
UT,-4.0,3650,0.001196243990512638
UT,-3.0,3458,0.0011333182792308775
UT,1.0,20246,0.006635385159429828
UT,2.0,20263,0.0066409567067829
UT,3.0,508,0.0001664909444329918
UT,4.0,3683,0.0012070593471391908
VA,-5.0,2826,0.004524539140625751
VA,-4.0,5967,0.009553405892467746
VA,-3.0,43364,0.0694275001040676
VA,-2.0,57442,0.09196694172534478
VA,-1.0,67334,0.10780442975757051
VA,0.0,8275,0.013248606294649004
VA,1.0,140722,0.2253015558907066
VA,2.0,50458,0.08078527811666458
VA,3.0,18508,0.029632048979016768
VA,4.0,12480,0.01998097964437699
VA,5.0,10551,0.016892573415690833
VT,-3.0,749,0.00010277167947310648
VT,-2.0,4730,0.0006490120746432492
VT,-1.0,3093,0.00042439626783754116
VT,1.0,15028,0.002062019758507135
VT,2.0,5991,0.0008220362239297475
VT,3.0,520,7.135016465422613e-05
VT,4.0,8790,0.0012060922063666301
VT,5.0,65,8.918770581778266e-06
WA,-4.0,5466,0.002985087668518739
WA,-3.0,7166,0.0039134903462505095
WA,-2.0,7674,0.00419091891112565
WA,-1.0,44822,0.024478155777231416
WA,0.0,5750,0.003140185527622164
WA,1.0,241092,0.13166497551747527
WA,2.0,84238,0.0460039910392758
WA,3.0,81218,0.04435471098824642
WA,4.0,90989,0.04969084190831532
WA,5.0,8102,0.004424657938225178
WI,-3.0,5383,0.0009315231017037026
WI,-1.0,11491,0.001988506773486392
WI,0.0,8649,0.0014967013387767647
WI,1.0,128678,0.022267607222929416
WI,2.0,53989,0.009342745817923314
WI,3.0,28572,0.004944357804547314
WI,4.0,60126,0.010404747912509163
WI,5.0,8708,0.0015069112334452615
WV,-1.0,4352,0.007432950584200539
WV,1.0,2540,0.0043381650928008665
WV,3.0,318,0.0005431246061065652
WY,-2.0,32,9.380568796651841e-06
WY,1.0,1930,0.0005657655555480641
WY,5.0,386,0.00011315311110961282
