day,language,gps,wo_gps
2016-12-30,ta,1,1
2016-12-30,th,96,96
2016-12-30,tr,5376,5376
2016-12-30,uk,9,9
2016-12-30,ur,6,6
2016-12-30,vi,2,2
2016-12-30,xx-lc,16,16
2016-12-30,zh-CN,13,13
2016-12-30,zh-TW,4,4
2016-12-30,zh-cn,31,31
2016-12-30,zh-tw,22,22
2016-12-31,af,1,1
2016-12-31,ar,319489,319489
2016-12-31,bg,4,4
2016-12-31,bn,1,1
2016-12-31,ca,179,179
2016-12-31,cs,101,101
2016-12-31,da,124,124
2016-12-31,de,4668,4668
2016-12-31,el,88,88
2016-12-31,en,301516,301516
2016-12-31,en-AU,41,41
2016-12-31,en-GB,1220,1220
2016-12-31,en-IN,11,11
2016-12-31,en-gb,8442,8442
2016-12-31,es,11461,11461
2016-12-31,es-MX,1,1
2016-12-31,eu,24,24
2016-12-31,fa,141,141
2016-12-31,fi,90,90
2016-12-31,fil,3,3
2016-12-31,fr,23774,23774
2016-12-31,fr-CA,1,1
2016-12-31,ga,4,4
2016-12-31,gl,18,18
2016-12-31,he,193,193
2016-12-31,hi,51,51
2016-12-31,hr,33,33
2016-12-31,hu,67,67
2016-12-31,id,17120,17120
2016-12-31,in,7,7
2016-12-31,it,1593,1593
2016-12-31,ja,757,757
2016-12-31,kn,3,3
2016-12-31,ko,71,71
2016-12-31,lv,5,5
2016-12-31,mr,1,1
2016-12-31,ms,5,5
2016-12-31,msa,67,67
2016-12-31,nb,14,14
2016-12-31,nl,3543,3543
2016-12-31,no,89,89
2016-12-31,pl,259,259
2016-12-31,pt,2929,2929
2016-12-31,pt-PT,7,7
2016-12-31,ro,20,20
2016-12-31,ru,1921,1921
2016-12-31,sk,4,4
2016-12-31,so,1,1
2016-12-31,sr,12,12
2016-12-31,sv,809,809
2016-12-31,ta,2,2
2016-12-31,th,112,112
2016-12-31,tr,7727,7727
2016-12-31,uk,13,13
2016-12-31,ur,4,4
2016-12-31,vi,31,31
2016-12-31,xx-lc,19,19
2016-12-31,zh-CN,21,21
2016-12-31,zh-Hans,1,1
2016-12-31,zh-TW,5,5
2016-12-31,zh-cn,39,39
2016-12-31,zh-tw,9,9
2017-01-01,ar,212794,212794
2017-01-01,bg,1,1
2017-01-01,ca,211,211
2017-01-01,cs,122,122
2017-01-01,da,208,208
2017-01-01,de,8102,8102
2017-01-01,el,115,115
2017-01-01,en,282623,282623
2017-01-01,en-AU,53,53
2017-01-01,en-GB,1511,1511
2017-01-01,en-IN,7,7
2017-01-01,en-gb,8293,8293
2017-01-01,es,15609,15609
2017-01-01,es-MX,2,2
2017-01-01,eu,45,45
2017-01-01,fa,91,91
2017-01-01,fi,109,109
2017-01-01,fil,4,4
2017-01-01,fr,18554,18554
2017-01-01,fr-CA,2,2
2017-01-01,ga,1,1
2017-01-01,gl,22,22
2017-01-01,he,190,190
2017-01-01,hi,51,51
2017-01-01,hr,22,22
2017-01-01,hu,63,63
2017-01-01,id,24441,24441
2017-01-01,in,12,12
2017-01-01,it,1556,1556
2017-01-01,ja,558,558
2017-01-01,kn,4,4
2017-01-01,ko,91,91
2017-01-01,lv,2,2
2017-01-01,ms,3,3
2017-01-01,msa,84,84
2017-01-01,nb,12,12
2017-01-01,nl,5116,5116
2017-01-01,no,88,88
2017-01-01,pl,515,515
2017-01-01,pt,2021,2021
2017-01-01,ro,24,24
2017-01-01,ru,1626,1626
2017-01-01,sk,5,5
2017-01-01,sl,2,2
2017-01-01,sr,9,9
2017-01-01,sv,948,948
2017-01-01,th,67,67
2017-01-01,tr,21195,21195
2017-01-01,uk,40,40
2017-01-01,ur,16,16
2017-01-01,vi,12,12
2017-01-01,xx-lc,16,16
2017-01-01,zh-CN,15,15
2017-01-01,zh-Hans,2,2
2017-01-01,zh-TW,1,1
2017-01-01,zh-cn,31,31
2017-01-01,zh-tw,15,15
2017-01-02,af,1,1
2017-01-02,ar,351389,351389
2017-01-02,bg,2,2
2017-01-02,ca,936,936
2017-01-02,cs,100,100
2017-01-02,cy,1,1
2017-01-02,da,165,165
2017-01-02,de,6173,6173
2017-01-02,el,112,112
2017-01-02,en,341909,341909
2017-01-02,en-AU,67,67
2017-01-02,en-GB,1640,1640
2017-01-02,en-IN,6,6
2017-01-02,en-US,1,1
2017-01-02,en-gb,9785,9785
2017-01-02,es,32589,32589
2017-01-02,es-MX,1,1
2017-01-02,eu,84,84
2017-01-02,fa,138,138
2017-01-02,fi,137,137
2017-01-02,fil,5,5
2017-01-02,fr,27490,27490
2017-01-02,fr-CA,2,2
2017-01-02,ga,2,2
2017-01-02,gl,95,95
2017-01-02,he,183,183
2017-01-02,hi,60,60
2017-01-02,hr,31,31
2017-01-02,hu,55,55
2017-01-02,id,20647,20647
2017-01-02,in,10,10
2017-01-02,it,1801,1801
2017-01-02,ja,691,691
2017-01-02,kn,2,2
2017-01-02,ko,77,77
2017-01-02,lv,5,5
2017-01-02,ms,10,10
2017-01-02,msa,84,84
2017-01-02,nb,14,14
2017-01-02,nl,5105,5105
2017-01-02,no,80,80
2017-01-02,pl,422,422
2017-01-02,pt,2277,2277
2017-01-02,pt-PT,3,3
2017-01-02,ro,23,23
2017-01-02,ru,1749,1749
2017-01-02,sk,3,3
2017-01-02,sr,14,14
2017-01-02,sv,937,937
2017-01-02,th,84,84
2017-01-02,tr,10264,10264
2017-01-02,uk,18,18
2017-01-02,ur,65,65
2017-01-02,vi,15,15
2017-01-02,xx-lc,24,24
2017-01-02,zh-CN,23,23
2017-01-02,zh-cn,29,29
2017-01-02,zh-tw,12,12
2017-01-03,ar,496433,496433
2017-01-03,bg,6,6
2017-01-03,ca,931,931
2017-01-03,cs,76,76
2017-01-03,da,211,211
2017-01-03,de,5133,5133
2017-01-03,el,100,100
2017-01-03,en,386159,386159
2017-01-03,en-AU,51,51
2017-01-03,en-GB,1753,1753
2017-01-03,en-IN,8,8
2017-01-03,en-gb,11853,11853
2017-01-03,es,27099,27099
2017-01-03,es-MX,4,4
2017-01-03,eu,34,34
2017-01-03,fa,179,179
2017-01-03,fi,130,130
2017-01-03,fil,1,1
2017-01-03,fr,28389,28389
2017-01-03,fr-CA,1,1
2017-01-03,ga,2,2
2017-01-03,gl,56,56
2017-01-03,he,244,244
2017-01-03,hi,65,65
2017-01-03,hr,29,29
2017-01-03,hu,81,81
2017-01-03,id,23266,23266
2017-01-03,in,6,6
2017-01-03,it,1994,1994
2017-01-03,ja,759,759
2017-01-03,ko,86,86
2017-01-03,lv,3,3
2017-01-03,ms,4,4
2017-01-03,msa,97,97
2017-01-03,nb,23,23
2017-01-03,nl,5611,5611
2017-01-03,no,124,124
2017-01-03,pl,370,370
2017-01-03,pt,1721,1721
2017-01-03,pt-PT,8,8
2017-01-03,ro,19,19
2017-01-03,ru,2423,2423
2017-01-03,sk,3,3
2017-01-03,sr,11,11
2017-01-03,sv,1289,1289
2017-01-03,th,175,175
2017-01-03,tr,5618,5618
2017-01-03,uk,32,32
2017-01-03,ur,10,10
2017-01-03,vi,21,21
2017-01-03,xx-lc,22,22
2017-01-03,zh-CN,13,13
2017-01-03,zh-TW,6,6
2017-01-03,zh-cn,40,40
2017-01-03,zh-tw,26,26
2017-01-04,ar,395665,395665
2017-01-04,bg,1,1
2017-01-04,ca,330,330
2017-01-04,cs,101,101
2017-01-04,cy,1,1
2017-01-04,da,186,186
2017-01-04,de,5147,5147
2017-01-04,el,90,90
2017-01-04,en,348778,348778
2017-01-04,en-AU,41,41
2017-01-04,en-GB,1611,1611
2017-01-04,en-IN,5,5
2017-01-04,en-SS,1,1
2017-01-04,en-US,1,1
2017-01-04,en-gb,10092,10092
2017-01-04,es,25867,25867
2017-01-04,es-MX,4,4
2017-01-04,eu,26,26
2017-01-04,fa,139,139
2017-01-04,fi,160,160
2017-01-04,fil,1,1
2017-01-04,fr,26841,26841
2017-01-04,gl,63,63
2017-01-04,he,216,216
2017-01-04,hi,43,43
2017-01-04,hr,29,29
