"fromuser","count"
"michaelbelievs",18
"sweetsabina",18
"LyleKlich",18
"RobFender213",18
"madhatter77059",18
"TalibKweli",18
"Mahrom73853515",18
"TanyaMayfield1",18
"MJScanlonOH",18
"CindyMunz",18
"MaryAviles72",18
"Deeyah_Khan",18
"mite72",18
"den2173355",18
"mapoulebrancher",18
"Deplorable_Pat2",18
"LaurieMettier",18
"DesisRisingUp",18
"laxman_xy",18
"DianaBialkowski",18
"dixiefortrump",18
"dkrwilliams",18
"DMartyr",18
"Dobbyminth",18
"FeminineHygiene",18
"DanSlezak2",18
"DRUMR48",18
"dsign_space",18
"Dylanesque2604",18
"ForColorado",18
"frespirit01",18
"Elimelech_Ring",18
"Davidroyle13",18
"Ender316",18
"Cudabarra",18
"TeamTrumpAZ",17
"deb6090",17
"ShellyKennisto1",17
"debdavlaur",17
"Shugruberg",17
"DeborahDemarai1",17
"ryanp228",17
"dedy_steven80",17
"royand69",17
"DeirdreFord19",17
"thatwillgettalk",17
"Exterminator950",17
"TheDavey56",17
"den2114",17
"SonicDeanBoom",17
"deniedhumrights",17
"TheGoodGuy2016",17
"cmj2a",17
"sahaL_AS",17
"Dimplenut",17
"scijohncook",17
"dan11thhour",17
"scottgtweets",17
"docboleyn1",17
"r_nusbaum",17
"FedUp117",17
"STERLINGMHOLMES",17
"don85375",17
"Timcurr41013255",17
"DonaldT4Prez",17
"TimerWashington",17
"DannyDPurb",17
"SeekerofTruth0",17
"fiddlin1",17
"SergeHalytsky",17
"conrad1058",17
"sammymbausa",17
"Duskatrkulja1",17
"Sam_Schulman",17
"daverappp",17
"1MenujuDamai",17
"ejie1enter",17
"nattuurlijk",17
"DMashak",17
"APOYODECHILE",17
"fu_rakhmat",17
"Rabascoficial",17
"futureworld104",17
"Albertgeraldin3",17
"GabbyInCa",17
"obannons19691",17
"gaddzook",17
"15_Athens",17
"FOXLADY9",17
"OldSchoolGray",17
"FrankBest208",17
"Ace__of__Hearts",17
"frakincaprica",17
"OracleOfFreedom",17
"CrystalLuck63",17
"626Robyn",17
"davidki21550273",17
"MonteleoneUSA1",17
"tyrelle123",17
"AdrianaStuijt",17
"triwul82",17
"pink_sprnva",17
"vetfortheusa",17
"amentilone",17
"XSicular",17
"paras_sal",17
"YMcglaun",17
"AndreVanDelft",17
"TomInKansas",17
"PatriciaAHenso1",17
"usaforyoubruv",17
"angelavansoest",17
"ZagisDjinn",17
"PATRIOTUSA10",17
"tuanhutabarat",17
"aimwand",17
"trumpsterpistol",17
"Patriotress",17
"WorldBambino",17
"AnnKirsch1",17
"TrumpVikings",17
"PatVPeters",17
"hoguejiofor1",17
"AJMcGuire4",17
"hutch_jacki",17
"Naamag74",17
"joecimperman",17
"Camilian1Sabel",17
"hansoloagain69",17
"paulthomas1020",17
"ifezue4u2",17
"badakberacun",17
"JoeMoor33349838",17
"pedophileMomad",17
"joeyyeo13",17
"BadIdeasVs",17
"gigi355",17
"Rebel44CZ",17
"johnnybegood757",17
"CarrieKHutchens",17
"GenFrancoPepe14",17
"peteraskush",17
"john_robert_smi",17
"cassidyphoenyx",17
"genghisgalahad2",17
"piedmontian11",17
"IsraelNewsLinks",17
"Bellis2488My",17
"JanakThanki",17
"reneesi2168",17
"jbreisblatt",17
"cathyboothfob",17
"jd_Constitution",17
