"tweet","min","count"
"RT : Immigration reform is all risk for the . Their base doesn’t want it and the 12M illegals will all vote Democrat. @realDonaldTrump @GOP","Thu Jan 26 10:17:17 CST 2017",1
"RT : Oh the wonders of the Arab Spring. Our new allies in Egypt; the Muslim Brotherhood; just called the Holocaust a 'myth'… @realDonaldTrump","Mon Jan 30 15:21:05 CST 2017",1
"RT- Yes it's what got  elected.  We expect the wall; deportation and enforcement of laws. @realDonaldTrump","Wed Dec 28 17:58:34 CST 2016",1
"RT : Republicans must be careful with immigration—don’t give our country away. @realDonaldTrump","Tue Feb 21 12:37:04 CST 2017",1
"RT No Islam or Sharia Law in America.  and  this is what WE THE PEOPLE expect from you and your administration. @realDonaldTrump @mike_pence","Fri Jan 06 19:58:18 CST 2017",1
"RT : Obama & Clinton should stop meeting with special interests; & start meeting with the victims of illegal immigration. @realDonaldTrump","Sat Jan 14 15:18:58 CST 2017",1
"RT widely.  's conflicts of interest are affecting policy @realDonaldTrump","Fri Jan 27 21:43:36 CST 2017",1
"RT : The Republican Party needs strong and committed leaders; not weak people such as ; if it is going to stop il… @realDonaldTrump @JeffFlake","Sun Jan 15 13:29:53 CST 2017",1
"RT @realdonaldtrump posts poll that totals 101% 'Immigration Ban Is One Of Trump's Most Popular Orders So Far' @realDonaldTrump","Wed Feb 08 16:37:47 CST 2017",1
"RT  Can't believe Muslim @potus didn't mention pathetic ratings of Celebrity Apprentice @realDonaldTrump @POTUS","Tue Jan 10 20:53:02 CST 2017",1
"RT if you don't want Australia's refugee problem. Why are we a dumping ground for Australian problems.   @potus @realDonaldTrump @FoxNews @POTUS","Thu Feb 02 18:13:50 CST 2017",1
"RT : Dems don't want to talk ISIS b/c Hillary's foreign interventions unleashed ISIS & her refugee plans make it easier for… @realDonaldTrump","Tue Feb 07 21:04:27 CST 2017",1
"RT  He is My Beloved President ! 63+ million backing Him ! With God All Things are Possible ! God S… @realDonaldTrump","Wed Jan 25 17:48:57 CST 2017",1
"RT In addition to Muslim ban; proposed to close mosques; set up database to track Muslims; deport 11M undocumented.Get ready @realDonaldTrump","Thu Feb 02 11:48:44 CST 2017",1
"RT : Just as I predicted; immigration reform will increase the cost of ObamaCare over $300B  More money… @realDonaldTrump","Mon Feb 06 13:45:01 CST 2017",1
"RT : Re: immigration. Do the Republicans not realize that Dems will get 100% of 11 million votes no matter what they do? @realDonaldTrump","Sat Jan 28 13:46:44 CST 2017",1
"RT :   Here's some stats. Open your homes Schumer and DEMS!! … @realDonaldTrump @SenSchumer @LindaSuhler","Tue Feb 21 20:30:35 CST 2017",1
"RT William Downey:   policy. Does not care about this 3 year o... @realDonaldTrump","Sat Jan 28 12:00:06 CST 2017",1
"RT : Egypt is turning into a hot bed of radical Islam. The current protest is another coup attempt.  We should never have a… @realDonaldTrump","Sun Jan 29 15:17:33 CST 2017",1
"RT : Hillary Clinton raked in money from regimes that horribly oppress women and gays & refuses to speak out against Radica… @realDonaldTrump","Sun Jan 22 15:01:11 CST 2017",1
"RT attack in Sweden neo-nazis on a refugee center  Canada attack @realDonaldTrump","Sun Feb 19 18:11:21 CST 2017",1
"RT : Today's announcement by  on immigration was done for reelection. He is using the office of the presidency… @realDonaldTrump @BarackObama","Sun Feb 19 17:06:34 CST 2017",1
"RT  : ...Senators should focus their energies on ISIS; illegal immigration and (cont) @realDonaldTrump","Sun Jan 29 17:22:42 CST 2017",1
"RT : Hillary's refusal to mention Radical Islam; as she pushes a 550% increase in refugees; is more proof that she is unfit… @realDonaldTrump","Tue Jan 31 00:22:09 CST 2017",1
"RT is   right about  ? @realDonaldTrump","Mon Feb 27 15:34:01 CST 2017",1
"RT : Miss Universe; Paulina Vega; criticized me for telling the truth about illegal immigration; but then said she would ke… @realDonaldTrump","Fri Jan 20 11:22:05 CST 2017",1
"RT : . is much smarter than sleepy eyes      Thanks to Steve Bannon & rea… @realDonaldTrump @BreitbartNews @chucktodd @nbc","Tue Feb 07 05:22:38 CST 2017",1
"RT : Why does  continue to defend radical Islam? He is calling the Ft. Hood massacre 'workplace violence.' @realDonaldTrump @BarackObama","Mon Feb 27 13:59:34 CST 2017",1
"RT : Thank you NH! We will end illegal immigration; stop the drugs; deport all criminal aliens&save American lives! Watc… @realDonaldTrump","Mon Jan 16 10:54:25 CST 2017",1
"RT : ': On the Muslim issue: It might help  if he actually supported Christians religious liberty… @realDonaldTrump @TheBrodyFile @BarackObama","Sat Feb 18 15:04:09 CST 2017",1
"RT RT RT:  IS GIVING $500 BILLION to RUSSIA - immigrant BAN a COVER UP!!! @realDonaldTrump","Sun Jan 29 17:54:39 CST 2017",1
"RT : Our way of life is under threat by Radical Islam and Hillary Clinton cannot even bring herself to say the words. @realDonaldTrump","Sun Jan 29 10:28:40 CST 2017",1
"RT RT RT:  IS GIVING $500 BILLION to RUSSIA - immigrant BAN a COVER UP!!!!! @realDonaldTrump","Sun Jan 29 17:54:04 CST 2017",1
"RT  This man wants tax payers money while he refuses to protect tax payers from radical Islam & ill… @realDonaldTrump","Mon Feb 13 21:34:54 CST 2017",1
"RT : ...Senators should focus their energies on ISIS; illegal immigration and border security inst… @realDonaldTrump","Sun Jan 29 20:13:02 CST 2017",1
"RT  36 hours without a major terrorist attack. My Muslim ban is making America great again! @realDonaldTrump","Sun Jan 29 11:05:18 CST 2017",1
"RT RT RT:  BLACKMAILED into GIVING $500 BILLION to RUSSIA - immigrant BAN a COVER UP!!!! @realDonaldTrump","Sun Jan 29 17:58:08 CST 2017",1
"RT : How can Crooked Hillary say she cares about women when she is silent on radical Islam; which horribly oppresses women? @realDonaldTrump","Sat Jan 14 00:02:05 CST 2017",1
"RT : 'Immigration Ban Is One Of Trump's Most Popular Orders So Far'  … @realDonaldTrump","Thu Feb 23 02:26:11 CST 2017",1
"RT  You didn't let me keep my Muslim Ban and look what happened.  Asghar Farhadi won an .  DISGRACEFUL! @realDonaldTrump","Sun Feb 26 21:06:53 CST 2017",1
"RT RT RT:  IS GIVING $500 BILLION to RUSSIA - immigrant BAN a COVER UP!!!!!!!!!!!!! @realDonaldTrump","Sun Jan 29 17:56:00 CST 2017",1
