f_name,time,orig,message,eng,clean,stem,label,gps
../data/external/scrape/tweets_immigrant_34443.csv,34.6603851318,558670.0,556332.0,330509.0,330509.0,330509.0,1585.0,1585.0
../data/external/scrape/tweets_immigrant_34444.csv,40.1582481861,680600.0,677961.0,369915.0,369915.0,369913.0,2868.0,2868.0
../data/external/scrape/tweets_immigrant_34445.csv,31.2598314285,546600.0,544742.0,294403.0,294403.0,294403.0,3597.0,3597.0
../data/external/scrape/tweets_immigrant_34446.csv,31.825925827,584400.0,582356.0,302235.0,302235.0,302235.0,2616.0,2616.0
../data/external/scrape/tweets_immigrant_34447.csv,41.489341259,700800.0,698820.0,404121.0,404121.0,404119.0,1873.0,1873.0
../data/external/scrape/tweets_immigrant_34448.csv,36.374720335,577658.0,575494.0,329647.0,329647.0,329645.0,1950.0,1950.0
../data/external/scrape/tweets_immigrant_34449.csv,29.8470606804,585300.0,583659.0,290479.0,290479.0,290479.0,1434.0,1434.0
../data/external/scrape/tweets_immigrant_34450.csv,30.8132197857,613700.0,611894.0,304913.0,304913.0,304913.0,1355.0,1355.0
../data/external/scrape/tweets_immigrant_34451.csv,48.8084075451,738600.0,736329.0,435837.0,435837.0,435836.0,1260.0,1260.0
../data/external/scrape/tweets_immigrant_34452.csv,36.9324445724,595400.0,593365.0,328654.0,328654.0,328654.0,1346.0,1346.0
../data/external/scrape/tweets_immigrant_34453.csv,35.1237699986,632600.0,630696.0,320728.0,320728.0,320728.0,820.0,820.0
../data/external/scrape/tweets_immigrant_34454.csv,31.2899420261,521170.0,519466.0,291646.0,291646.0,291646.0,2088.0,2088.0
../data/external/scrape/tweets_immigrant_34455.csv,33.0018634796,553319.0,552000.0,286053.0,286053.0,286052.0,2525.0,2525.0
../data/external/scrape/tweets_immigrant_34456.csv,33.9581906796,586400.0,584466.0,308199.0,308199.0,308198.0,3562.0,3562.0
../data/external/scrape/tweets_immigrant_34457.csv,35.7191910744,597400.0,595543.0,325276.0,325276.0,325276.0,1578.0,1578.0
../data/external/scrape/tweets_immigrant_34458.csv,25.1085226536,464385.0,462821.0,240474.0,240474.0,240473.0,1217.0,1217.0
../data/external/scrape/tweets_immigrant_34459.csv,23.1522202492,478300.0,477061.0,217664.0,217664.0,217664.0,875.0,875.0
../data/external/scrape/tweets_immigrant_34460.csv,26.7836918831,586500.0,585157.0,252013.0,252013.0,252011.0,1364.0,1364.0
../data/external/scrape/tweets_immigrant_34461.csv,21.7613904476,418402.0,417286.0,202284.0,202284.0,202283.0,1301.0,1301.0
../data/external/scrape/tweets_immigrant_34462.csv,47.6709139347,734900.0,732281.0,423742.0,423742.0,423740.0,3136.0,3136.0
../data/external/scrape/tweets_immigrant_34463.csv,47.8128385544,736500.0,734159.0,433351.0,433351.0,433348.0,8285.0,8285.0
../data/external/scrape/tweets_immigrant_34464.csv,35.554407835,633700.0,631840.0,341004.0,341004.0,341002.0,3656.0,3656.0
../data/external/scrape/tweets_immigrant_34465.csv,32.5419635773,552700.0,551047.0,307796.0,307796.0,307796.0,2323.0,2323.0
../data/external/scrape/tweets_immigrant_34466.csv,36.9856152534,615400.0,613424.0,334445.0,334445.0,334445.0,1244.0,1244.0
../data/external/scrape/tweets_immigrant_34467.csv,27.7951979637,521200.0,519737.0,269045.0,269045.0,269045.0,864.0,864.0
../data/external/scrape/tweets_immigrant_34468.csv,24.3248713017,424801.0,423212.0,222906.0,222906.0,222906.0,1047.0,633.0
../data/external/scrape/tweets_immigrant_34469.csv,24.5150353909,541900.0,540683.0,234571.0,234571.0,234570.0,1528.0,995.0
../data/external/scrape/tweets_immigrant_34470.csv,25.2372794151,493500.0,492058.0,233248.0,233248.0,233248.0,1491.0,1469.0
../data/external/scrape/tweets_immigrant_34471.csv,23.7429172993,480400.0,479128.0,226144.0,226144.0,226144.0,1254.0,1252.0
../data/external/scrape/tweets_immigrant_34472.csv,25.9088947773,524000.0,522631.0,246034.0,246034.0,246033.0,858.0,858.0
../data/external/scrape/tweets_immigrant_34473.csv,23.7103955746,465253.0,464106.0,222685.0,222685.0,222685.0,1142.0,1142.0
../data/external/scrape/tweets_immigrant_34474.csv,28.5182719231,576700.0,575133.0,268645.0,268645.0,268643.0,1164.0,1164.0
../data/external/scrape/tweets_immigrant_34475.csv,27.932156086,513300.0,511983.0,244200.0,244200.0,244199.0,1208.0,1208.0
../data/external/scrape/tweets_immigrant_34476.csv,26.9418091774,516200.0,514885.0,246130.0,246130.0,246129.0,1682.0,1682.0
../data/external/scrape/tweets_immigrant_34477.csv,27.6775243282,539900.0,538812.0,252840.0,252840.0,252838.0,1610.0,1610.0
../data/external/scrape/tweets_immigrant_34478.csv,30.0283329487,579300.0,578043.0,278327.0,278327.0,278327.0,1101.0,1101.0
../data/external/scrape/tweets_immigrant_34479.csv,22.1613595486,450445.0,449437.0,212848.0,212848.0,212848.0,852.0,852.0
../data/external/scrape/tweets_immigrant_34480.csv,22.420396328,408600.0,407333.0,213152.0,213152.0,213152.0,1487.0,1487.0
../data/external/scrape/tweets_immigrant_34481.csv,43.035346508,643055.0,641324.0,386544.0,386544.0,386544.0,1571.0,1571.0
../data/external/scrape/tweets_immigrant_34482.csv,38.7508628368,622800.0,620765.0,348860.0,348860.0,348859.0,2056.0,2056.0
../data/external/scrape/tweets_immigrant_34483.csv,30.63718009,595300.0,593801.0,292956.0,292956.0,292956.0,1136.0,1136.0
../data/external/scrape/tweets_immigrant_34484.csv,35.6260938644,665931.0,663870.0,324141.0,324141.0,324141.0,1007.0,1007.0
../data/external/scrape/tweets_immigrant_34485.csv,27.1154148579,490300.0,488728.0,252938.0,252938.0,252938.0,1422.0,1422.0
../data/external/scrape/tweets_immigrant_34486.csv,34.4852395058,610800.0,608853.0,314841.0,314841.0,314840.0,2347.0,2347.0
../data/external/scrape/tweets_immigrant_34487.csv,27.5121836662,541100.0,539713.0,262380.0,262380.0,262379.0,2047.0,2047.0
../data/external/scrape/tweets_immigrant_34488.csv,28.8197853565,523100.0,521398.0,264498.0,264498.0,264498.0,1932.0,1932.0
